English,Urdu
this isnt real,مجھے اتنا یقین نہیں ہوگا۔
i would not be so sure,میں نے بالکل مطالعہ نہیں کیا۔
i didnt study at all,میری بیوی چینی ہے
my wife is chinese,مجھے فرانسیسی فلمیں پسند ہیں۔
i love french films,جیسا کہ وہ تمہیں کہتا ہے کرو
do as he tells you,مجھے بڑے کتے پسند نہیں ہیں۔
i dont like big dogs,بس یہی
is that all,اسے اس پر رحم آیا
she took pity on him,زین نے زہر کھا لیا۔
zain poisoned himself,ڈاکٹر کو فون کرو
ring up the doctor,اس کی انسانی فطرت
its human nature,کیا اپ ابھی فارغ ہیں
are you free now,ان کتابوں کی ہمیشہ بہت مانگ رہتی ہے۔
those books are always in great demand,جس نے کتاب لکھی۔
who wrote the book,وہ کافی جوان دکھ رہی ہے۔
she looks young,میں لڑکے کو دیکھتا ہوں۔
i see the boy,زین اسے خریدنا چاہتا تھا۔
zain wanted to buy it,ہم ناکام نہیں ہوں گے
we will not fail,اس کا لہجہ اچھا ہے۔
he has a good accent,مجھے چاول کا شوق نہیں ہے۔
i am not fond of rice,مجھے وہ شو پسند تھا۔
i loved that show,وہ زیادہ پر اعتماد ہے
he is overconfident,تم جانتے ہو کہ میں شادی شدہ ہوں۔
you know i am married,میں آپ کے منہ پر تھپڑ ماروں گا۔
i will slap you in the face,مجھے ایک ڈاک ٹکٹ چاہیے
i need a stamp,زین نے میرا دل توڑ دیا۔
zain broke my heart,مجھے اچھا محسوس ہورہا ہے
i feel good,ابھی
right now,ہم نے ایک بچہ گود لیا
we adopted a child,براہ مہربانی اسے روکیں
please stop it,ہمارے پاس چائے نہیں ہے
we dont have tea,پارٹیاں ختم
the partys over,میرے لیے ایک خشک تولیہ لاؤ
bring me a dry towel,میں پرانے زمانے کا ہوں
i am oldfashioned,مجھے ڈاک ٹکٹ خریدنے کی ضرورت ہے۔
i need to buy stamps,لوگ عجیب ہیں
people are strange,تبدیلی اہم ہے
change is important,ابھی دیر نہیں ہوئی
its not too late,میں اسے تمہارے لیے لے آؤں گا۔
i will get it for you,تم فضول ہو
you are wasteful,اسے بات کرنے دو
let him talk,وہ شکار کرنا پسند کرتا ہے۔
he likes to hunt,میں ناراض ہوں
i am angry,زین پاگل تھا
zain was mad,اس نے میرے ساتھ زیادتی کی۔
he/she abused me,زین نے کسی کو بتایا؟
did zain tell anyone,روزانہ ورزش آپ کو فٹ اور صحت مند بناتی ہے۔
daily exercise makes you fit and healthy,میں بدلنے والا ہوں۔
i am replaceable,زین نے دروازہ بند کر دیا۔
zain locked the door,اسے ایک وقفہ دو
give him a break,یہ میرا خیال نہیں تھا
it wasnt my idea,زین آرام دہ اور پرسکون
zains comfortable,میں فرانسیسی ہوں
i am french,میری دائیں ٹانگ میں درد ہے
my right leg hurts,میں کھونا پسند نہیں کرتا
i dont like to lose,میں کتا رکھتا ہوں۔
i keep a dog,میں اسے ڈانٹوں گا۔
i will scold him,مجھے لگتا ہے کہ آپ خوبصورت ہیں۔
i think you are pretty,ریڈیو بند کرو
turn off the radio,پیزا کس کے لیے ہے؟
whos the pizza for,میں کبھی نہیں پیتا
i never drink,مجھے اپنے دفتر پیدل جانا ہے۔
i have to go to my office on foot,میرا مطلب ہے بے عزتی نہیں
i mean no disrespect,وہ تھکا ہوا تھا مگر وہ پھر بھی کام کرتا رہا۔
"he was tired, but he kept on working",ہم یہاں بات نہیں کر سکتے
we cant talk here,آپ دیکھے دیکھے لگتے ہیں
you look familiar,پتہ نہیں وہ آئِں گے کہ نہیں۔
i wonder if he will come,میں ناچنا نہیں چاہتا
i dont want to dance,فکر نہ کرو
dont be worried,وہ میری سہلیاں ہیں۔
they are my friends,ٹام کے ساتھ رہو
stay with tom,میں نے خود کو کاٹ لیا
i cut myself,جار کو احتیاط سے کھولیں
open the jar carefully,اسے مت چھو
dont touch it,ہم دوبارہ ملیں گے
we will meet again,مجھے رعایت چاہیے
i need a favor,اس نے کونے کو موڑ دیا
he turned the corner,کیا میں تھوڑا آرام کر سکتا ہوں؟
can i rest a bit,میرے پاس کچھ جوتے تھے۔
i had like some shoes,میں آنتوں کے عارضے میں مبتلا ہوں۔
i am suffering from intestine disorder,زین نے کبھی نہیں کہا
zain never said no,دوا لے لو
take the medicine,میں ہمیشہ خوش نہیں تھا
i wasnt always happy,زین ایک ماہر حیاتیات ہے۔
zain is a biologist,کیا آپ لاطینی جانتے ہیں؟
do you know latin,زین اپنی بائیک سے اترا۔
zain got off his bike,مہربانی کر کے ایسا ضرور کریں۔
please dont do it,میں عام طور پر اپنے کمرے میں موسیقی سنتا ہوں۔
i usually listen to music in my room,غیر بیمہ شدہ تھے۔
were uninsured,کیا تمھاری بیوی ہے
do you have a wife,ایک ٹیکسی انتظار کر رہی ہے۔
a cab is waiting,میں خوش ہو گیا تھا
i had be delighted,میں ہنسی نہیں روک سکتا
i cant stop laughing,کیا ہم اسے دوبارہ آزما سکتے ہیں؟
can we try this again,مجھے اس کے لیے افسوس ہے۔
i am sorry for this,میں نے اسے باہر جاتے سنا
i heard him go out,میں اپنے والدین کو یاد کرتا ہوں۔
i miss my parents,میں چاہتا ہوں کہ وہ چلا جائے۔
i want him to leave,دریا بڑھ گیا ہے
the river has risen,تم کب واپس آئے
when did you return,زین بھوک سے مر گیا۔
zain starved to death,کیا آپ میئر ہیں؟
are you the mayor,اپنی چھٹیوں کا مزہ لو
enjoy your holidays,جواب درست ہے
the answer is right,میں ڈرل جانتا ہوں۔
i know the drill,میرے پاس اب بھی وقت ہے۔
i still have time,میں یہاں انچارج ہوں۔
i am in charge here,وہ سوتا نہیں ہے
he doesnt sleep,وہ نہیں سنتا
he doesnt listen,مجھے یقین نہیں ہے.
i am not sure yet,ٹام کے ساتھ گڑبڑ نہ کرو
dont mess with tom,مجھے ایک کال کرنی ہے۔
i must make a call,لڑنا بند کرو
stop fighting,اپنی عقل کا استعمال کریں
use your wits,کیا آپ کھانا چاہتے ہیں؟
do you want to eat,میں خواب دیکھنا چاہتا ہوں۔
i want to dream,میں ایک دوست ہوں
i am a friend,میں نے اس پر کام کیا۔
i worked at it,یہ مذاق نہیں ہے
its not funny,مجھے متلی محسوس ہو رہی ہے۔
i am feeling nausea,اس کے تین بچے ہیں
she has three kids,زین میرا دوست ہے۔
zain is my friend,Apnay kia krna h
what should i do now,مجھے مرنے مت دینا
dont let me die,میں نے اپنا بٹوہ کھو دیا۔
i lost my wallet,وہاں ہوشیار رہو
be careful up there,مجھے زیادہ تنخواہ نہیں ملتی
i dont get paid much,میرے پاس دینے کے لیے کچھ نہیں ہے۔
i have nothing to give,میں اسکول جاتا ہوں
we must go to school,میرے پاس فلیٹ ٹائر ہے۔
i have got a flat tire,زین مجھے سمجھتا ہے۔
zain understands me,زین گھبرا گیا ہے
zain is nervous,میں اس کی کوشش کروں گا۔
i will try that,ہم آسٹریلوی ہیں
we are australians,میں لمبا ہوں
i am taller,میں کسی روح کو نہیں بتاؤں گا۔
i wont tell a soul,وہ بہت تیزی سے بات کرتا ہے
he talks too fast,سب کچھ تیار رکھو
keep everything ready,میں ٹام سے کیسے نفرت کر سکتا ہوں
how could i hate tom,وہ زیادہ سو گیا
she overslept,میں نے اسے بیس بال کھیلتے ہوئے دیکھا۔
i saw him play baseball,اب آرام کرو
now just relax,مکھن خراب ہو گیا
the butter went bad,مجھے لہسن پسند ہے۔
i love garlic,یہ کونسا جانور ہے
what animal is it,آپ اس کی اجازت کیوں دیتے ہیں
why do you permit it,میں نے اپنا چشمہ کھو دیا۔
i lost my sunglasses,کیا وہ ایک خوبصورت لڑکی ہے؟
is she a pretty girl,یہ ایک چھوٹی سی واک ہے
its a short walk,وہ کمرے میں بھاگا
he ran into the room,وقت ضائع کرنا چھوڑ دو
quit wasting time,میرے پاس سسٹم نہیں ہے۔
i dont have a system,اس کی کیا قیمت ہے
what is it worth,میں نے کبھی ٹام کو نہیں مارا۔
i have never beaten tom,ایک کے ساتھ ایک مفت
buy one get one free,تم نے اسے کیسے کھو دیا
how did you lose it,چائے ختم ہو گئی
were out of tea,تم مجھے ڈراو مت
you dont scare me,اس کا بندر کا گوشت
its monkey meat,وہ زین بہن ہے
shes zains sister,میرے بازو کی ہڈی ٹوٹ گئی ہے۔
my arm-bone has got fractured,یہ ایک اور کہانی ہے
thats another story,ارے تم جلدی ہو
hey you are early,میں خوش ہوں
i am happy,زین کو جاگنگ سے نفرت ہے۔
zain hates jogging,میں نے ہنسنا چھوڑ دیا۔
i stopped laughing,ٹام کو مارو
hit tom,کیا آپ اپنے بالوں کو رنگتے ہیں؟
do you dye your hair,یہ کس چیز سے بنا ہے
what is it made from,کیا زین نے رات کا کھانا کھایا؟
did zain have dinner,کیا ہم اس کے ساتھ چل سکتے ہیں؟
can we get on with it,میں تم پر بھروسہ کر رہا تھا۔
i was counting on you,وہ ایک مصنف ہے
he is a writer,کیا آپ کو کھونے میں مزہ آتا ہے؟
do you enjoy losing,میں نے اپنا حوصلہ کھو دیا۔
i lost my composure,کیا آپ گٹار بجا سکتے ہیں؟
can you play guitar,کیا وہ دوبارہ ناکام ہوا؟
did he fail again,کیا ریستوراں میں سگریٹ نوشی نہ کرنے والا سیکشن ہے؟
does the restaurant have a non-smoking section,میں ٹیٹو آرٹسٹ ہوں۔
i am a tattoo artist,زین کو یقین نہیں آرہا
zain isnt convinced,کیا آپ نے کوئی ٹپ چھوڑی ہے؟
did you leave a tip,وہ چلانے لگا
he began running,مجھے کیڑوں سے نفرت ہے۔
i hate insects,یہ واقعی بڑا ہے
this is really big,زین اب اوپر ہے
zain is now up,وہ ایک آئی پیڈ منی چاہتا ہے۔
he wants an ipad mini,میں سفر پر جاؤں گا۔
i will go on a trip,کیا یہ ٹوپی آپ کی ہے؟
is this hat yours,مجھے یہ سب یاد ہے۔
i remember it all,میں اس سے پوچھوں گا
i will ask him,وہاں اپنے نام پر دستخط کریں۔
sign your name there,کاش میرے پاس زیادہ ہوتا
i wish i had more,اور کیا؟
what else,اس سے اچھی خوشبو آتی ہے۔
that smells good,زین کے بہن بھائی ہیں۔
zain has siblings,میں نے ٹام کو دیکھا ہے۔
i have seen tom,کیا وہ کسی نئے شہر میں جانے پر غور کر رہے ہیں؟
are they considering moving to a new city,میں کام سے بھرا ہوا ہوں۔
i am swamped with work,آپ میرے دوست ہیں
you are my friends,میں نے ایسا سوچا۔
i thought so,ہم ٹام کو یاد کرتے ہیں
we miss tom,زین ایک پیدائشی فنکار ہے۔
zain is a born artist,اپنی میزوں کے ساتھ کھڑے ہو جاؤ
stand by your desks,مجھے ثابت کرو
prove it to me,مجھے آپ کی ہنسی یاد آتی ہے۔
i miss your laugh,آہستہ جانے کی کوشش کریں
try to go slower,زین ایک بڑا بزدل ہے۔
zains a big coward,زین کو پھانسی دی گئی۔
zain was executed,یہ ریسٹورنٹ بہت مزے دار حصے پیش کرتا ہے۔
this restaurant serves very mingy portions,زین لنگڑانا
zains limping,رات ہو گئی
night came on,زین آیا؟
did zain come,میں اکلوتا بچہ نہیں ہوں۔
i am not an only child,یہ کرنا مشکل نہیں ہے
it isnt hard to do,کاش میں اب بوسٹن میں ہوتا
i wish i could be in boston now,جب آپ انتظار کر رہے ہوں کیا میں آپ کو ایک مشروب لا سکتا ہوں؟
can i get you a drink while you are waiting,وہ ہمیشہ مذاق کرتا ہے
he is always joking,وہ تیر نہیں سکتا تھا
he could not swim,کیا میں نے دروازہ بند کر دیا؟
did i lock the door,اپنے منصوبے پر قائم رہو
stick to your plan,کیا آپ ہمیشہ مصروف ہیں؟
are you always busy,خواتین مجھے پسند نہیں کرتیں۔
women dont like me,پرندوں نے گایا
the birds sang,میں جانتا ہوں کہ یہ کیسے کرنا ہے۔
i know how to do it,اچھا نہیں
not good,ہر کوئی الجھن میں تھا
everyone was confused,زین بہت پیارا ہے
zain is very cute,اس نے اس کا تحفہ قبول کیا
he accepted her gift,میرے نام ٹام
my names tom,وہ شک سے بالاتر ہے۔
he is above suspicion,یہ آسان نہیں ہوگا
this wont be easy,میں تمہیں پسند کرتا ہوں
i like you,میری بلی بلی کو پسند کرتی ہے۔
my cat loves catnip,وہ کہاں ہو سکتے ہیں
where could they be,کیا تم فرنچ بول سکتے هو
can you speak french,میں ایک مَرد ہوں۔
i am a man,زین غیر دلچسپ ہے۔
zain is uninteresting,آپ اسے زیادہ سمجھتے ہیں۔
you overestimate him,میں ابھی گھر پہنچا ہوں۔
i have just gotten home,وہ تیر نہیں سکتا
she cant swim,اپنی مٹھی کا استعمال کریں
use your fist,میں ترقی کر رہا ہوں۔
i am making progress,زین نے مجھے نظر انداز کیا۔
zain ignored me,کام کرنے کے لئے زین سائیکل
zain cycles to work,مجھے گلے لگاو
give me a hug,اعتماد حاصل کیا جاتا ہے
trust is earned,تم میری گرل فرینڈ ہو
you are my girlfriend,یہ ہماری غلطی ہے
its our fault,ہم فیصلہ کریں گے
we will decide,میں انتہائی اکیلا پن محسوس کرتا ہو
i feel so lonely,میں یہ نہیں پہن رہا ہوں۔
i am not wearing this,اپنا سوال پوچھیں
ask your question,میرا یاکین کرو
do me a favor,زین اپنی نوکری کھو چکا ہے۔
zain has lost his job,درجہ حرارت گر گیا
the temperature fell,آپ کافی جانتے ہیں۔
you know enough,ايقين جانين
believe me,میں نے فٹ بال کھیلا
i played football,مجھ سے مت پوچھو ٹام سے پوچھو
dont ask me ask tom,کوئی اصول نہیں ہیں
there are no rules,میں یہ یقینی طور پر کروں گا۔
i will do that for sure,وہ ایک تیز سیکھنے والا ہے۔
he is a fast learner,میں سنگاپور سے ہوں
i am from singapore,اس پھل کا ذائقہ خراب ہے۔
this fruit has a bad taste,یہ لوگ کون ہے؟
who are those people,اس نے تین مچھلیاں پکڑیں۔
he caught three fish,ایک ڈاکٹر سے مشورہ کریں
consult a doctor,انہیں ٹام نہیں ملا
they didnt find tom,زین غائب ہے
zain is missing,زین پرسکون رہا۔
zain remained calm,زین کے سر میں درد تھا۔
zain had a headache,وہ بہت آہستہ چلتا ہے
he walks too slow,زین معقول ہو
zain be reasonable,اس نے اپنا گلاس خالی کر دیا
he emptied his glass,زین حیرت انگیز
zains amazing,ہم مدد کرنا چاہتے ہیں۔
we want to help,تم بہت پراسرار ہو
you are so mysterious,میں نے آپ کو جگانا مناسب نہیں سمجھا
i didn't think it proper to wake you up,ہم حیران ہیں کیوں؟
we wonder why,تم اکیلے ہو یا کسی کے ساتھ ہو؟
are you by yourself or with someone,ہمارے دو بچے ہیں۔
we have two kids,آپ اس پر بھروسہ کر سکتے ہیں۔
you can trust him,میں ان سب کو ناپسند کرتا ہوں۔
i dislike them all,زین مجھے مار دے گا۔
zain will kill me,انہوں نے ٹام کو یاد کیا
they missed tom,میں شور کا عادی ہوں۔
i am used to the noise,زین کے پاس کوئی علیبی نہیں تھا۔
zain had no alibi,کوئی اور زخمی نہیں ہوا
no one else was hurt,میں نے پہلا انعام جیتا ہے۔
i have won first prize,میں اکثر پڑھتا ہوں۔
i often read,ہم نے ہر جگہ دیکھا
we looked everywhere,میں نے کوڈ توڑ دیا۔
i cracked the code,یہ کیا ہے؟
what is this,تم کتنی دیر سے کھلتے ہو؟
how late are you open,وہ سو گیا
he dozed off,ہم نے پیدل سفر کیا۔
we traveled on foot,زین کو توجہ کی ضرورت ہے۔
zain needed attention,یہ کس کا گٹار ہے؟
whose guitar is this,تم کیا کر رہے ہو
what are you doing,مجھے ایک صاف قمیض چاہیے
i need a clean shirt,دونوں لڑکیاں ہنس پڑیں۔
both girls laughed,آپ کو تھوڑا کم کھانا چاہئے
you should eat a little less,وہ فرانسیسی سمجھتا ہے۔
he understands french,آپ کو شروع کرنا ہوگا
you have to start,یہ کتنا گرم دن ہے
what a hot day it is,میں پڑھنا پسند کرتا ہوں۔
i prefer to read,اندر چلتے ہیں
lets go on in,الیکس دن میں دو بار اپنے دانتوں کو برش کرتا ہے۔
alex brushes her teeth twice a day,یہ اس کی گاڑی ہے
this is his car,ہم نے کوشش نہیں کی
we didnt try,مجھے امید ہے کہ آپ اچھی طرح سوئے ہوں گے۔
i hope you slept well,میں ادھر رہتا ہوں۔
i live here,یہ گاڑی سیاہ ہے
this car is black,اس نے میرا دماغ اڑا دیا
it blew my mind,میں اداس اور تنہا ہوں۔
i am sad and lonely,فرش ٹھنڈا محسوس ہوتا ہے
the floor feels cold,یہ کتاب نئی ہے
this book is new,میں یہاں ایک دوست کے طور پر ہوں۔
i am here as a friend,زین نے مریم کو ڈانٹا۔
zain scolded mary,وہ کبھی نہیں ملے
they have never met,میں نے کوکیز بنائی
i made cookies,یہ ہوتا رہتا ہے
it keeps happening,تشریف رکھیے
take a seat,زین میرا دوست تھا۔
zain was my friend,مجھ سے بات مت کرو
dont talk to me,آپ نے ایک پیغام بھیجا ہے
you have a message,میں نے نیچے دیکھا
i looked down,میں ایک شادی شدہ آدمی ہوں۔
i am a married man,مجھے اب نیند نہیں آرہی
i am no longer sleepy,ریستوراں سستی قیمتوں پر اچھا کھانا پیش کرتا ہے۔
the restaurant serves good food at affordable prices,وہ میرا پرانا دوست ہے۔
he is my old friend,میں سنجیدہ تھا
i was serious,وہ ایک شوقین بیور ہے
he is an eager beaver,میں گھبرا گیا
i panicked,رونا ٹھیک ہے
its okay to cry,میں نے جھوٹ بولا
i lied,میں کچھ اور چاہتا ہوں۔
i want something else,سفر کرنے کا مزہ ہے
its fun to travel,چکر آ رہے تھے
were dizzy,کیا آپ ٹام کے ساتھ رہ سکتے ہیں؟
can you stay with tom,اب کیا ہوتا ہے
what happens now,زندگی عجیب ہے
life is strange,وہ آپ کو برطرف نہیں کر سکتے
they cant fire you,میں کیا آپکو بوسہ دے سکتاہوں
may i kiss you,کتنی بری فلم ہے
what a bad movie,اس نے الٹا کیا۔
he did the opposite,میری پسندیدہ ڈش بریانی ہے۔
my favourite dish is biryani,زین نے ایک چور کو پکڑا۔
zain caught a thief,وہ ایک طالب علم ہے
she is a student,براہ مہربانی غسل کریں
please take a bath,فکر مت کرو
dont worry,زین جانتا تھا کہ میں تیار ہوں۔
zain knew i was ready,میں اس سے لطف اندوز ہو رہا ہوں۔
i am enjoying this,میں نے دروازے کھول دیئے۔
i opened the doors,بڑا نہیں ہے
large isnt it,میں اب بھوکا ہوں
i am hungry now,یہ مت کرو
do not do that,کیا زین ٹھیک کر رہا ہے؟
is zain doing ok,مجھے امید ہے کہ یہ کام کرتا ہے۔
i hope this works,وہ ایک امیر خاندان سے آتا ہے
he comes of a rich family,مجھے کوئی اندازہ نہیں
i have no clue,میرے چشمے لاؤ
bring me my glasses,زین ابھی تک سو رہا ہے
zain is still asleep,آپ ناقابل یقین ہیں
you are unbelievable,یہ میرا کام ہے
this is my job,زین گوشت کو پیس رہا ہے۔
zain is grilling meat,یہ اچھی طرح سے کرے گا
this will do nicely,اوپر جاؤ
go up,زین آج ہم نہیں کریں گے۔
zain isnt we will today,مجھے گرمی پر کوئی اعتراض نہیں
i dont mind the heat,زین نے مریم کو تسلی دی۔
zain reassured mary,کیا آپ ٹام سے رابطہ کر سکتے ہیں؟
can you contact tom,زین نے سر ہلایا
zain nodded,اچھا کام ٹام
good work tom,میں تم سے بڑا ہوں۔
i am bigger than you,یہ اب ہونا ہے
its got to be now,میں صرف نہیں جانتا
i simply dont know,وہ فوراً چلا گیا
he left immediately,زین بہت صبر کرنے والا تھا۔
zain was very patient,میں واقعی بھوکا تھا
i was really hungry,خاموشی بہترین چیز ہے
silence is golden,میں جاپانی ہوں
i am japanese,میں اپنے چہرے پر لیٹ گیا
i lay on my face,میں بھی آؤں گا۔
i will come too,میں ایک ایس ایم ایس لکھ رہا ہوں۔
i am writing an sms,مجھے لیٹنا پسند تھا۔
i had like to lie down,پاگل نہ ہو
dont get paranoid,اپ کو لغت استعمال کرنا آتی ہے؟
do you know how to use a dictionary,مجھے یہاں اچھا لگتا ہے
i like it here,تمام لڑکے بھاگ گئے۔
all the boys ran away,آپ نے اسے دوبارہ کیا
youve done it again,زین نے مریم کو ووٹ دیا۔
zain voted for mary,کیا اس میں سے کوئی سچ ہے؟
is any of this true,زین مبالغہ آرائی کرتا ہے۔
zain exaggerates,تم میرا دجسٹر لے جانا۔
i'll lend you my notebook,اس کے گھر میں آگ لگ گئی تھی
his house was on fire,کسی نے جواب نہیں دیا
no one responded,وہ پچاس سے زیادہ ہونا چاہئے
he must be over fifty,وہ رات کو دیر سے ہوٹل پہنچی۔
she got to the hotel late at night,زین اب گھر پر ہے۔
is zain at home now,میں نے ایک وی ڈبلیو بس خریدی۔
i bought a vw bus,آپ کتنے قریب تھے
how close were you,اس سے باہر رہو
stay out of it,وہ محفوظ نہیں کیا جا سکتا
they cannot be saved,میں صرف متجسس ہوں۔
i am just curious,ہمیشہ کے لئے
forever,میں تم سے زیادہ خوش ہوں۔
i am happier than you,دروازہ کھلا ہے؟
is the door open,کیا یہ حقیقت میں ایسا ہے
is it in fact the case that,مجھے امید ہے کہ زین ٹھیک ہے
i hope zains right,تم نہیں جا سکتے
you cant go,زین ایک حقیقی فنکار ہے۔
zain is a true artist,میں کالج کا طالب علم ہوں۔
i am a college student,میں ان دونوں کو پسند کرتا ہوں۔
i like them both,مجھے لگتا ہے کہ اچھا ہے
i guess thats good,میں نے صرف اپنے پیر کو مارا۔
i just stubbed my toe,وہ بچہ نہیں ہے
shes not a child,کیا میں یہ ادھار لے سکتا ہوں؟
can i borrow this,مجھے نیلا محسوس ہوتا ہے۔
i feel blue,اسے چھوڑ دو
leave that alone,میں شروع کروں گا
i will start,کوئی آپ کو نہیں پوچھ رہا ہے
no one is asking you,مجھ سے رابطہ کریں
get in touch with me,وہ ان کو شکست دے گا۔
he will defeat them,زین میرا نام نہیں
zains not my name,کیا یہاں کوئی ہے؟
is there anyone here,وہ پڑھائی کررہا ہے
he is studying,زین میرے بغیر چلا گیا
zain left without me,انہوں نے اپنے کتے کو کھو دیا
they lost their dog,زین نے اسے درست کیا۔
zain corrected it,وہ دشمن ہیں
they are enemies,ہم نے اسے پایا
we found it,وہ ایک میل تیر سکتا ہے۔
he can swim a mile,وہ معصوم ہے
shes innocent,مجھے سرخ گلاب پسند ہیں۔
i like red roses,انہوں نے پسینہ بہایا
they sweated,میں حقائق چاہتا ہوں۔
i want facts,زین نے مریم کے ساتھ کام کیا۔
zain worked with mary,انہوں نے ایک قبر کھودی
they dug a grave,پینگوئن انٹارکٹیکا میں رہتے ہیں۔
penguins live in the antarctica,وہ مصروف ہے
shes busy,آسمان ابر آلود ہے
the sky is overcast,وہ اس کا دوست ہے
he is her friend,یہ بہت خطرناک ہے
its too risky,وہ جھوٹ بول رہا ہے
he is lying,میں اس کی مکمل حمایت کرتا ہوں۔
i fully support that,کیا تم نے ٹام کو دھمکی دی؟
did you threaten tom,میرے والدین بوڑھے ہیں۔
my parents are old,جنگ ہم سب کو متاثر کرتی ہے۔
war affects us all,یہ مچھلی نہیں ہے
its not a fish,مجھے انٹرویوز سے نفرت ہے۔
i hate interviews,یہ ہمارا ہے
its ours,یہ ٹائی کتنی ہے؟
how much is this tie,میں اسے گولی مار دوں گا۔
i will shoot him,وہ مر سکتا ہے
she could die,کیا آپ بات کو سمجھتے ہیں؟
do you understand her,یہ بہت پیارا ہے
thats so sweet,اس کے پاس ایک تصویر ہے۔
she has a picture,میں رات کا کھانا تیار کرتا ہوں۔
i prepare dinner,یہ گوشت اچھا ہے
this meat is good,یہ میری سی ڈیز ہیں۔
these are my cds,میں ایک استاد ہوں
i am a teacher,میری آنکھیں تھک گئی ہیں
my eyes are tired,اس طرح مت ڈالو
dont put it that way,وہ صحت مند لگ رہا ہے
he looks healthy,کیا میں ریکیٹ کرایہ پر لے سکتا ہوں؟
can i rent rackets,یہاں ٹام آتا ہے
here comes tom,یہ بالکل آسان نہیں ہے
its not at all easy,آپ وہاں پارک نہیں کر سکتے
you cant park there,میں اس سے انکار نہیں کرتا
i dont deny that,اپنے برتن ٹن کرو
get your utensils tinned,وہ ابھی تک نہیں آیا
she hasnt come yet,بیٹھ جاؤ اور چپ کرو
sit down and shut up,میں نے اپنے ارد گرد دیکھا
i looked around me,میرے پاس ایک جڑواں ہے۔
i have a twin,میں نے کسی کو دیکھا
i saw someone,میرا کیا ہے تمہارا
what is mines yours,میں اس سے خوش ہوں۔
i am glad of that,زین بے رحم ہے
zain is unkind,یہ خوفناک لگتا ہے
that sounds horrible,میرا کوئی مستقبل نہیں ہے۔
i have no future,یہ ایک ہی چیز ہے
its the same thing,میں کمیونسٹ ہوں۔
i am a communist,اس نے مجھے ٹھنڈا دیا
he gave me a cold,ہم چیک لیں گے
we will take the check,کیا مجھے کرنا ہے؟
do i have to,ٹام کو کوئی نہیں روک سکتا
no one can stop tom,آپ کے ہوم ورک میں ہاتھ
hand in your homework,میں نے ابھی ٹام سے بات کی۔
i just spoke with tom,مجھے آگے ایک سرخ کار نظر آ رہی ہے۔
i see a red car ahead,براہ مہربانی گانا
please sing,زین اتنا مصروف کیوں ہے
why is zain so busy,ہم نے انہیں پایا
we found them,وہ ایک گھنٹہ سو گیا
he slept an hour,وہ درخت سے گر گیا
he fell from the tree,مجھے دھوپ میں بری طرح جلن ہے۔
i have a bad sunburn,تم مجھے برطرف نہیں کر سکتے
you cant fire me,ہمارا مطلب اچھا تھا۔
we meant well,جہنم جلد واپس آ جائے
hell be back soon,میں محنت کروں گا۔
i will work hard,میں اس پر الزام نہیں لگا سکتا
i cant blame him,یہ کام نہیں کرے گا۔
it won't work,میں نے اس پر اپنی جان کی شرط لگائی تھی۔
i had bet my life on it,میں طالب علم ہوں۔
i am a student,یہ جھوٹ ہو گا
that would be lying,کیا تم جلدی میں ہو؟
are you in a hurry,مجھے یہ چائے پسند ہے۔
i like this tea,میں نے سوچا تم چلے گئے
i thought youd left,وہ اپنے کمرے میں داخل ہوا
he entered his room,میں ایک تیز تیراک ہوں۔
i am a fast swimmer,وہ ہمیشہ مذاق کرتا ہے
he is always joking,مختصر بات کریں
be brief,میں پارٹیوں سے محبت کرتا ہوں
i love parties,سنجیدہ ہو جاؤ
get serious,یہ آپ کی گاڑی ہے
is that your car,کیا تم بھائی ہو
are you brothers,آج میری سالگرہ ہے
today is my birthday,آپ کا کتا کتنا بوڑھا ہے
how old is your dog,وہ ایک ابتدائی پرندہ ہے
he is an early bird,زین نے اپنے بیٹے کو گلے لگا لیا
zain embraced his son,یہاں سے مت ہٹیں
dont move from here,دیکھو میں نے کیا پایا ہے
look what i have found,ہم کب اندر جا سکتے ہیں
when can we move in,یہ کون سا سال ہے
what year is it,اگر آپ کافی جرات مند ہیں تو یہ کریں
do it if you are bold enough,زین دوڑا
zain ran,کیا یہ ایک دریا ہے
is this a river,اس نے مجھے گانے پر مجبور کیا
he made me sing,میں لمبا ہوں
i am tall,یہ ایک بڑی غلطی تھی
it was a big mistake,وہ آپ کی عمر کے بارے میں ہے
he is about your age,میں جانتا ہوں کہ کیا ہو رہا ہے
i know what is up,وہ ہم سے ڈرتے ہیں
they are afraid of us,مجھے فلمیں پسند ہے۔
i love movies,کیا اس سے آپ خوفزدہ ہوتے ہیں
does that scare you,مجھے لگتا ہے کہ یہ کام کرتا ہے
i think it works,کیا آپ بھوکے ہیں
are you hungry,براہ مہربانی میرا انتظار کریں
please wait for me,ہم بھوکے ہیں
we are hungry,زین کو سرجری کی ضرورت ہے
zain needs surgery,میں نے نظم یاد کر لی
i memorized the poem,میں جلد ہی واپس کال کروں گا
i will call back soon,بیمار آدمی کی رات ایک پہاڑ کے طور پر ہے
the sick man’s night is as a mountain,اپنے ہتھیار کو ہولسٹر کریں
holster your weapon,میں لاہور میں پلا بڑھا۔
i grew up in lahore,وہ پہلے سے ہی جانتے تھے
they already knew,وہ واقعی خود غرض ہے
he is really selfish,زین غصے میں نظر آیا
zain looked angry,کتنا متجسس
